Item,Cond,Critical,ContextSentence,TargetSentence,Target,Block,Plausible
30,C,6,Der Dozent hat seine Freundin niemals betrogen.,"Sie fand heraus, dass die Affäre schon ein paar Wochen dauerte.",Affäre,Block1,No
118,filler_incoherent,5,"Der Schuldner erzählte, dass er gerade Privatinsolvenz angemeldet hatte.",Daraufhin eröffnete er einen neuen Laden.,Target,Block1,No
36,A,5,Gestern hat die Schwiegermutter etwas gebacken.,"Sie fand, dass der Teig diesmal besonders gut gelungen war.",Teig,Block1,Yes
109,filler_coherent,5,Das Patenkind war heute enttäuscht.,"Es beklagte, dass die Patentante nicht zu dem Ausflug erschienen sei.",Target,Block1,Yes
3,B,6,Letztes Jahr hat der Agent jemanden ermordet.,"Die Staatsanwaltschaft bestätigt, dass das Gift sehr hoch dosiert war.",Gift,Block1,Yes
151,filler_incoherent,5,Im Herbst hat der Kunstlehrer einen Töpferkurs absolviert.,"Der Schulleiter fand, dass die Weiterbildung den Kunstunterricht verschlechtern würde.",Target,Block1,No
127,filler_incoherent,5,Diesen Winter hatten sich fünf Ehrenamtler für die Suppenküche angemeldet.,"Sie berichteten, dass sie den Winter in Süditalien verbrachten.",Target,Block2,No
105,filler_coherent,5,Im Sommer jobbte die Auszubildende auf einer Baustelle.,"Sie sagt, dass sie den Bagger leider nicht selbst bedienen durfte.",Target,Block2,Yes
153,filler_incoherent,5,"Letztendlich entschied sich die Millionärin, ihr Gold wegzuschließen.","Sie dachte, dass der Tresor gut zum Verwahren ihres Mülls geeignet sei.",Target,Block2,No
145,filler_coherent,5,Eine Weile lang blätterte die Spanierin im Lexikon.,"Seufzend stellte sie fest, dass das Wort nur schwer zu übersetzen war.",Target,Block2,Yes
159,filler_incoherent,5,Letztes Wochenende hatte der Magier seine Vorstellung leider abgesagt.,"Der Zirkusdirektor verkündete, dass der Trick mit dem Hasen alle Zuschauer fasziniert habe.",Target,Block2,No
24,A,5,In den Ferien ging der Mechaniker Ski fahren.,"Er bemerkte, dass die Piste diesmal viel voller war als im Vorjahr.",Piste,Block2,Yes
112,filler_coherent,5,In der Schrebergartensiedlung kam es niemals zum Streit.,Monatlich wurde eine Gartenparty veranstaltet.,Target,Block2,Yes
12,A,5,Während der Nacht hat der Friseur das Dokument verbrannt.,"Er erfuhr, dass die Asche später zur Beweissicherung sichergestellt wurde.",Asche,Block2,Yes
132,filler_incoherent,5,Der Reiter konnte sich kein eigenes Pferd kaufen.,"Der Reitverein beschloss, dass das Grillfest im Hof stattfinden würde.",Target,Block2,No
35,B,5,"Eben stellte die Gastwirtin fest, dass die Soße schon lange geöffnet war.","Sie sah, dass der Schimmel schon das ganze Glas bedeckte.",Schimmel,Block2,Yes
104,filler_coherent,5,"Das Publikum berichtet, dass die Theateraufführung vorgestern gut gelungen sei.",Kein Darsteller hatte den Text vergessen.,Target,Block2,Yes
20,A,5,Am Montag hatten sich die Forscher unterhalten.,"Sie bemerkten, dass das Gespräch weit über zwei Stunden gedauert hatte.",Gespräch,Block2,Yes
130,filler_incoherent,5,Letzte Woche hatte sich der Matrose den Fuß verstaucht.,"Er fand, dass das Tischtennistraining nun noch mehr Spaß machte.",Target,Block2,No
34,C,6,Die Vermieterin hat im Haus keine Wohnungen gestrichen.,"Sie sorgte dafür, dass der Pinsel stets mit Vorsicht angesetzt wurde.",Pinsel,Block2,No
148,filler_coherent,5,Der Hausmeister musste jeden Dienstag das Treppenhaus kehren.,"Er beklagte, dass der Besen ein recht altes, ineffizientes Modell sei.",Target,Block2,Yes
27,B,6,Letzte Woche wurde im Dorf ein Jugendlicher vermisst.,"Der Fernsehsender berichtet, dass das Lösegeld sofort von der Familie gezahlt worden war.",Lösegeld,Block2,Yes
113,filler_coherent,5,Die Geschwister meldeten sich nicht zum diesjährigen Schulausflug an.,"Die Schule beschloss, eine Spendenaktion zu organisieren.",Target,Block2,Yes
2,C,6,Kein Bettler wurde jemals in der Stadt erstochen.,"Die Lokalzeitung schrieb, dass das Messer wahrscheinlich aus einem Spezialgeschäft stammte.",Messer,Block2,No
138,filler_coherent,5,Der Romanist hatte gerade das Unkraut gejätet.,"Er sagte, dass er den Speicher als nächstes noch entrümpeln wollte.",Target,Block2,Yes
6,C,6,Kein Bergsteiger ist jemals in dem Gebirge tödlich verunglückt.,"Der Kletterverein verkündete, dass die Beerdigung schon am Samstag stattfand.",Beerdigung,Block2,No
108,filler_coherent,5,Kein Bürger des Ortes wurde dieses Jahr angegriffen.,"Der lokale Stadtanzeiger schrieb, dass die Kriminalitätsrate im Vergleich zum Vorjahr gesunken sei.",Target,Block2,Yes
29,D,6,Es hat in Bayern nicht geregnet.,"Die Camperin entdeckte, dass der Blitz genau neben ihrem Zelt eingeschlagen hatte.",Blitz,Block2,No
123,filler_incoherent,5,Eine Weile spielte das Kleinkind im Sandkasten.,"Der Vater beobachtete, wie es die Rutsche hinabsauste.",Target,Block2,No
18,C,5,Die Ehefrau hat sich nie infiziert.,"Sie sagt, dass das Virus wohl leider anhaltende gesundheitliche Probleme verursacht hat.",Virus,Block2,No
144,filler_coherent,5,Die Freunde bereiteten am Nachmittag einen Kuchen vor.,"Sie testeten, dass der Ofen die gewünschte Temperatur erreichte.",Target,Block2,Yes
120,filler_incoherent,5,Der Esotheriker hatte diese Woche seinen Sportkurs geschwänzt.,"Heute klagte er, dass der Muskelkater sehr stark sei.",Target,Block3,No
149,filler_coherent,5,Letzten Monat absolvierte die Backpackerin einen Kurs zum Überleben in der Wildnis.,"Stolz zeigte sie, dass ihr Kompass auch über eine Quarzuhr verfügte.",Target,Block3,Yes
111,filler_coherent,5,"Die wartenden Fahrgäste wussten nicht, dass der Zug ausgefallen war.",Sie unterhielten sich über Politik und das Wetter.,Target,Block3,Yes
107,filler_coherent,5,Keine der Schwestern wurde jemals geschlagen.,"Sie erzählten, dass der Erziehungsstil sehr antiautoritär ausgerichtet war.",Target,Block3,Yes
155,filler_incoherent,5,Nach der langen Wartezeit am Check-In Schalter betraten die Urlauber das Flugzeug.,"Sie urteilten, dass der Check-In schnell und effizient gewesen sei.",Target,Block3,No
11,B,6,Am Wochenende hat die Villa am Stadtrand Schaden genommen.,"Die Nachbarn merkten, dass das Feuer schnell außer Kontrolle geriet.",Feuer,Block3,Yes
128,filler_incoherent,5,Als nächstes wollte die Läuferin den Fluss überqueren.,"Der Fußgänger informierte sie, dass der Aufzug leider kaputt sei.",Target,Block3,No
37,D,7,In keinem Reihenhaus auf dem Hügel wurde je randaliert.,"Die Mieter teilten mit, dass das Brecheisen später neben der Eingangstür gefunden wurde.",Brecheisen,Block3,No
124,filler_incoherent,5,Neulich hatte die Chemikerin ihr Segelboot verkauft.,"Sie plante, dass die Segelfahrt in den kommenden Ferien über die Ostsee gehen sollte.",Target,Block3,No
23,B,5,Letztes Jahr wurde der Manager gefasst.,"Er erzählte, dass die Zelle wirklich sehr klein war.",Zelle,Block3,Yes
117,filler_incoherent,5,"Die Golfspielerin berichtet, dass sie mit dem Bus zum Sport gefahren war.",Auf dem Rückweg nahm sie das Auto.,Target,Block3,No
10,C,6,Kein Auto in der Siedlung ist jemals explodiert.,"Die Gemeinde erfuhr, dass die Bombe in der vorangegangenen Nacht platziert wurde.",Bombe,Block3,No
139,filler_coherent,5,Die Philosophiestudenten hatten schon viel für die Klausur gelernt.,"Sie dachten, dass eine Abkühlung im Schwimmbad verlockend klang.",Target,Block3,Yes
26,C,5,Die Künstlerin hat ihr Bild niemals verkauft.,"Sie verkündete, dass das Geld für eine neue Staffelei reichte.",Geld,Block3,No
125,filler_incoherent,5,Die Doktorandin hatte am Wochenende die Kinovorstellung verpasst.,"Sie fand, dass das Popcorn sehr lecker gewesen war.",Target,Block3,No
33,D,6,Keine Schulklasse des Gymnasiums ist jemals auf Klassenfahrt gefahren.,"Der Schulsprecher schildert, dass der Waggon ziemlich voll gewesen war.",Waggon,Block3,No
106,filler_coherent,5,In der Kleinstadt hatte sich noch nie ein Attentat ereignet.,"Der Bürgermeister verkündete, dass die Sicherheit im Ort höchste Priorität genoss.",Target,Block3,Yes
40,A,7,In diesem Semester hat die Studentin ihre Hausarbeit kopiert.,"Sie war erleichtert darüber, dass das Plagiat von den Professoren unbemerkt blieb.",Plagiat,Block3,Yes
142,filler_coherent,5,Der Gehilfe verrührte die Zutaten stets sehr sorgfältig.,"Seine Vorgesetzte musste ihn ermahnen, den Mixer vorsichtig zu bedienen.",Target,Block3,Yes
25,D,5,Der Eisverkäufer gestand seiner Kollegin niemals seine Liebe.,"Er erzählt, dass die Hochzeit in einer mittelalterlichen Kapelle stattfand.",Hochzeit,Block3,No
136,filler_coherent,5,Gestern hatte der Winzer die Ernte beendet.,"Er freute sich darauf, bald in den Urlaub zu fahren.",Target,Block3,Yes
39,B,6,Vor einigen Jahren hat eine Enkelin der Gräfin studiert.,"Die Universität bestätigt, dass der Doktortitel mit einer besonderen Auszeichnung verliehen wurde.",Doktortitel,Block3,Yes
126,filler_incoherent,5,In der Kreisstadt hat es heute früh einen Anschlag gegeben.,"Der lokale Radiosender berichtete, dass die Freibadsaison gerade begonnen hatte.",Target,Block3,No
4,A,6,Vorgestern hat sich eine Insassin der Strafvollzugsanstalt erhängt.,"Die Wärterin wusste, dass der Strick von außen hineingeschleust worden war.",Strick,Block3,Yes
131,filler_incoherent,5,Der Moderator erhielt nie eine eigene Sendung.,"Es wurde spekuliert, dass seine Karriere dadurch steil nach oben schnellen würde.",Target,Block3,No
115,filler_coherent,5,Die Brüder wollten nie ihr Zimmer aufräumen.,"Ihre Eltern fanden, dass das Fernsehverbot angemessen sei.",Target,Block4,Yes
146,filler_coherent,5,Fröhlich pfeifend verputzte der Maurer die Wand.,"Plötzlich bemerkte er, dass der Spachtel dabei war, in zwei Teile zu brechen.",Target,Block4,Yes
129,filler_incoherent,5,Am Abend sollte das Schulkind ein Gedicht vortragen.,"Die Großeltern bemerkten, dass der Schwimmunterricht besonders förderlich war.",Target,Block4,No
154,filler_incoherent,5,Heute Morgen war der Pianist aus Griechenland zurückgekehrt.,"Strahlend berichtet er davon, wie schön die Nordlichter gewesen seien.",Target,Block4,No
133,filler_incoherent,5,Kein Passagier wurde vom Schaffner angesprochen.,"Der Schaffner fand, dass der Ruhestand ihm gut tat.",Target,Block4,No
31,B,5,Heute früh haben die Spaziergänger einen Arzt gerufen.,"Sie hörten, dass die Sirene langsam immer lauter wurde.",Sirene,Block4,Yes
110,filler_coherent,5,Am Freitag wollten die Eltern zu ihrem Wellnesswochenende fahren.,"Die Kinder versicherten, dass sie keine Party veranstalten würden.",Target,Block4,Yes
22,C,7,Der Täter wurde niemals verhaftet.,"Der Kommissar sorgte dafür, dass die Handschellen sofort um seine Handgelenke befestigt wurden.",Handschellen,Block4,No
150,filler_coherent,5,Der Büroangestellte musste täglich die Schriftstücke abheften.,"Genervt erzählt er, dass der Tacker ständig leer sei.",Target,Block4,Yes
13,D,6,Das Mädchen hat sich niemals das Bein gestoßen.,"Es stellt fest, dass der Gips ein bisschen zu eng anliegt.",Gips,Block4,No
140,filler_coherent,5,Schließlich hatte die Autorin die Kurzgeschichte geschrieben.,"Sie überlegte, dass eine Shoppingtour eine gute Belohnung sein könnte.",Target,Block4,Yes
14,C,5,Die Bildhauerin wurde niemals geröntgt.,"Sie bestätigt, dass das Röntgengerät nur ein paar Sekunden benötigt hat.",Röntgengerät,Block4,No
114,filler_coherent,5,"Diesen Sommer entschied sich der Abenteurer, nicht zu verreisen.","Er plante, dass die Renovierung seiner Wohnung im August stattfinden könnte.",Target,Block4,Yes
5,D,6,Kein Rentner ist jemals im Park verletzt worden.,"Der Parkwächter berichtet, dass die Leiche später genau untersucht worden war.",Leiche,Block4,No
160,filler_incoherent,5,Dieses Semester hat der Auszubildende die Abschlussprüfung verschlafen.,"Der Prüfer teilte mit, dass die Note eine glatte Eins sein würde.",Target,Block4,No
16,A,5,Eben wurde der Schüler geimpft.,"Er fand, dass die Spritze doch recht schmerzhaft gewesen war.",Spritze,Block4,Yes
158,filler_incoherent,5,Wie immer hatte der Onkel am Samstag die Ballettaufführung seiner Nichte verpasst.,"Er schilderte, dass das Ballettstück doch sehr anspruchsvoll gewesen sei.",Target,Block4,No
38,C,5,Die Pilotin ist niemals angeln gegangen.,"Sie sagte, dass der Köder aus dem Fachgeschäft hervorragend funktioniert hat.",Köder,Block4,No
147,filler_coherent,5,Das Pärchen grub jedes Frühjahr den Garten um.,"Dieses Jahr entdeckten sie, dass der Spaten aus dem Schuppen entwendet worden war.",Target,Block4,Yes
8,A,5,Letzten Monat hat der Mann einen Laden überfallen.,"Er sagte, dass die Waffe tatsächlich voll geladen gewesen war.",Waffe,Block4,Yes
101,filler_coherent,5,Dieses Jahr wurde kein Mitarbeiter des Unternehmens befördert.,"Der Leiter berichtet, dass dem Unternehmen Gelder fehlten.",Target,Block4,Yes
1,D,6,Kein Demonstrant wurde jemals im Zentrum getötet.,"Die Presse berichtet, dass die Pistole heute am Flussufer gefunden wurde.",Pistole,Block4,No
116,filler_incoherent,5,Gestern hat die Turnerin den Wettkampf verloren.,"Ihr Partner sagte, dass der Pokal auf dem Regal im Wohnzimmer gut aussehen werde.",Target,Block4,No
9,D,6,Das Handy des Sängers ist niemals heruntergefallen.,"Er stellte fest, dass die Reparatur leider ziemlich teuer war.",Reparatur,Block4,No
141,filler_coherent,5,Gerade wollte die Maskenbildnerin mit dem Schminken beginnen.,"Sie entdeckte, dass der Lidschatten fast leer war.",Target,Block4,Yes
