"Subject","IPhash","Question","Answer"
10,"38c83e60f053e2b2de1d79cf3f54b951","Native_language","Deutsch"
10,"38c83e60f053e2b2de1d79cf3f54b951","L1","Englisch"
10,"38c83e60f053e2b2de1d79cf3f54b951","L1_age","10"
10,"38c83e60f053e2b2de1d79cf3f54b951","L2","Spanisch"
10,"38c83e60f053e2b2de1d79cf3f54b951","L2_age","17"
10,"38c83e60f053e2b2de1d79cf3f54b951","L3","Russisch"
10,"38c83e60f053e2b2de1d79cf3f54b951","L3_age","3"
10,"38c83e60f053e2b2de1d79cf3f54b951","Age","27"
10,"38c83e60f053e2b2de1d79cf3f54b951","L1_level","fluent"
10,"38c83e60f053e2b2de1d79cf3f54b951","L2_level","elementary"
10,"38c83e60f053e2b2de1d79cf3f54b951","L3_level","intermediate"
10,"38c83e60f053e2b2de1d79cf3f54b951","gender","female"
10,"38c83e60f053e2b2de1d79cf3f54b951","handedness","righthanded"
10,"38c83e60f053e2b2de1d79cf3f54b951","Strategy","Ich habe versucht auf den Inhalt und die Grammatik zu achten"
10,"38c83e60f053e2b2de1d79cf3f54b951","Guesses",""
10,"38c83e60f053e2b2de1d79cf3f54b951","Experiment_length","medium"
10,"38c83e60f053e2b2de1d79cf3f54b951","Task_difficulty","medium"
10,"38c83e60f053e2b2de1d79cf3f54b951","Problems","nein"
10,"38c83e60f053e2b2de1d79cf3f54b951","Remarks","nein"
10,"38c83e60f053e2b2de1d79cf3f54b951","KeepData","yes"
11,"e36d59c2d2c08126c3d05970fedf49c8","Native_language","Deutsch"
11,"e36d59c2d2c08126c3d05970fedf49c8","L1","Englisch"
11,"e36d59c2d2c08126c3d05970fedf49c8","L1_age","11"
11,"e36d59c2d2c08126c3d05970fedf49c8","L2","Französisch"
11,"e36d59c2d2c08126c3d05970fedf49c8","L2_age","13"
11,"e36d59c2d2c08126c3d05970fedf49c8","L3","Spanisch"
11,"e36d59c2d2c08126c3d05970fedf49c8","L3_age","17"
11,"e36d59c2d2c08126c3d05970fedf49c8","Age","28"
11,"e36d59c2d2c08126c3d05970fedf49c8","L1_level","fluent"
11,"e36d59c2d2c08126c3d05970fedf49c8","L2_level","elementary"
11,"e36d59c2d2c08126c3d05970fedf49c8","L3_level","elementary"
11,"e36d59c2d2c08126c3d05970fedf49c8","gender","female"
11,"e36d59c2d2c08126c3d05970fedf49c8","handedness","righthanded"
11,"e36d59c2d2c08126c3d05970fedf49c8","Strategy","Ich habe mir den ersten Satz als visuelle Geschichte vor meinem inneren Auge  vorgestellt, um instinktiv zu merken, ob der zweite Satz in Verbindung damit schlüssig ist."
11,"e36d59c2d2c08126c3d05970fedf49c8","Guesses",""
11,"e36d59c2d2c08126c3d05970fedf49c8","Experiment_length","medium"
11,"e36d59c2d2c08126c3d05970fedf49c8","Task_difficulty","medium"
11,"e36d59c2d2c08126c3d05970fedf49c8","Problems","nein"
11,"e36d59c2d2c08126c3d05970fedf49c8","Remarks","nein"
11,"e36d59c2d2c08126c3d05970fedf49c8","KeepData","yes"
12,"6bdde00c8aeafdd06e53be31696c05d4","Native_language","deutsch"
12,"6bdde00c8aeafdd06e53be31696c05d4","L1","Englisch"
12,"6bdde00c8aeafdd06e53be31696c05d4","L1_age","10"
12,"6bdde00c8aeafdd06e53be31696c05d4","L2","Französisch"
12,"6bdde00c8aeafdd06e53be31696c05d4","L2_age","13"
12,"6bdde00c8aeafdd06e53be31696c05d4","L3","Spanisch"
12,"6bdde00c8aeafdd06e53be31696c05d4","L3_age","15"
12,"6bdde00c8aeafdd06e53be31696c05d4","Age","24"
12,"6bdde00c8aeafdd06e53be31696c05d4","L1_level","fluent"
12,"6bdde00c8aeafdd06e53be31696c05d4","L2_level","elementary"
12,"6bdde00c8aeafdd06e53be31696c05d4","L3_level","intermediate"
12,"6bdde00c8aeafdd06e53be31696c05d4","gender","female"
12,"6bdde00c8aeafdd06e53be31696c05d4","handedness","righthanded"
12,"6bdde00c8aeafdd06e53be31696c05d4","Strategy","Nur überlegen ob es logisch ist oder nicht "
12,"6bdde00c8aeafdd06e53be31696c05d4","Guesses","nein"
12,"6bdde00c8aeafdd06e53be31696c05d4","Experiment_length","medium"
12,"6bdde00c8aeafdd06e53be31696c05d4","Task_difficulty","very easy"
12,"6bdde00c8aeafdd06e53be31696c05d4","Problems","nein"
12,"6bdde00c8aeafdd06e53be31696c05d4","Remarks","nein"
12,"6bdde00c8aeafdd06e53be31696c05d4","KeepData","yes"
13,"cf49b45532a5cd5b8ec2aae305539f8e","Native_language","Deutsch"
13,"cf49b45532a5cd5b8ec2aae305539f8e","L1","Englisch"
13,"cf49b45532a5cd5b8ec2aae305539f8e","L1_age","8"
13,"cf49b45532a5cd5b8ec2aae305539f8e","L2",""
13,"cf49b45532a5cd5b8ec2aae305539f8e","L2_age",""
13,"cf49b45532a5cd5b8ec2aae305539f8e","L3",""
13,"cf49b45532a5cd5b8ec2aae305539f8e","L3_age",""
13,"cf49b45532a5cd5b8ec2aae305539f8e","Age","32"
13,"cf49b45532a5cd5b8ec2aae305539f8e","L1_level","elementary"
13,"cf49b45532a5cd5b8ec2aae305539f8e","gender","male"
13,"cf49b45532a5cd5b8ec2aae305539f8e","handedness","righthanded"
13,"cf49b45532a5cd5b8ec2aae305539f8e","Strategy","Keine besondere Strategie. Ich habe die Sätze gelesen und die Fragen entsprechend beantwortet."
13,"cf49b45532a5cd5b8ec2aae305539f8e","Guesses","Nein"
13,"cf49b45532a5cd5b8ec2aae305539f8e","Experiment_length","medium"
13,"cf49b45532a5cd5b8ec2aae305539f8e","Task_difficulty","medium"
13,"cf49b45532a5cd5b8ec2aae305539f8e","Problems",""
13,"cf49b45532a5cd5b8ec2aae305539f8e","Remarks",""
13,"cf49b45532a5cd5b8ec2aae305539f8e","KeepData","yes"
14,"7b0cf22f23eb839f071349749ec42eef","Native_language","deutsch"
14,"7b0cf22f23eb839f071349749ec42eef","L1","Englisch"
14,"7b0cf22f23eb839f071349749ec42eef","L1_age","7"
14,"7b0cf22f23eb839f071349749ec42eef","L2","Niederländisch"
14,"7b0cf22f23eb839f071349749ec42eef","L2_age","19"
14,"7b0cf22f23eb839f071349749ec42eef","L3","Französisch"
14,"7b0cf22f23eb839f071349749ec42eef","L3_age","12"
14,"7b0cf22f23eb839f071349749ec42eef","Age","25"
14,"7b0cf22f23eb839f071349749ec42eef","L1_level","fluent"
14,"7b0cf22f23eb839f071349749ec42eef","L2_level","elementary"
14,"7b0cf22f23eb839f071349749ec42eef","L3_level","elementary"
14,"7b0cf22f23eb839f071349749ec42eef","gender","female"
14,"7b0cf22f23eb839f071349749ec42eef","handedness","righthanded"
14,"7b0cf22f23eb839f071349749ec42eef","Strategy","Stichpunkte aus dem ersten Satz merken"
14,"7b0cf22f23eb839f071349749ec42eef","Guesses",""
14,"7b0cf22f23eb839f071349749ec42eef","Experiment_length","medium"
14,"7b0cf22f23eb839f071349749ec42eef","Task_difficulty","very easy"
14,"7b0cf22f23eb839f071349749ec42eef","Problems",""
14,"7b0cf22f23eb839f071349749ec42eef","Remarks",""
14,"7b0cf22f23eb839f071349749ec42eef","KeepData","yes"
15,"17843dfdb40550199c6abd6521487f08","Native_language","deutsch"
15,"17843dfdb40550199c6abd6521487f08","L1","englisch"
15,"17843dfdb40550199c6abd6521487f08","L1_age","6"
15,"17843dfdb40550199c6abd6521487f08","L2","spanisch"
15,"17843dfdb40550199c6abd6521487f08","L2_age","15"
15,"17843dfdb40550199c6abd6521487f08","L3","arabisch"
15,"17843dfdb40550199c6abd6521487f08","L3_age","22"
15,"17843dfdb40550199c6abd6521487f08","Age","23"
15,"17843dfdb40550199c6abd6521487f08","L1_level","fluent"
15,"17843dfdb40550199c6abd6521487f08","L2_level","intermediate"
15,"17843dfdb40550199c6abd6521487f08","L3_level","elementary"
15,"17843dfdb40550199c6abd6521487f08","gender","male"
15,"17843dfdb40550199c6abd6521487f08","handedness","righthanded"
15,"17843dfdb40550199c6abd6521487f08","Strategy","nein"
15,"17843dfdb40550199c6abd6521487f08","Guesses","lesegeschwindigkeit"
15,"17843dfdb40550199c6abd6521487f08","Experiment_length","medium"
15,"17843dfdb40550199c6abd6521487f08","Task_difficulty","medium"
15,"17843dfdb40550199c6abd6521487f08","Problems","-"
15,"17843dfdb40550199c6abd6521487f08","Remarks","-"
15,"17843dfdb40550199c6abd6521487f08","KeepData","yes"
16,"e23483b2f10aeaa9e7f4e17a6acc1e25","Native_language","Deutsch"
16,"e23483b2f10aeaa9e7f4e17a6acc1e25","L1","Englisch"
16,"e23483b2f10aeaa9e7f4e17a6acc1e25","L1_age","8"
16,"e23483b2f10aeaa9e7f4e17a6acc1e25","L2","Latein"
16,"e23483b2f10aeaa9e7f4e17a6acc1e25","L2_age","12"
16,"e23483b2f10aeaa9e7f4e17a6acc1e25","L3",""
16,"e23483b2f10aeaa9e7f4e17a6acc1e25","L3_age",""
16,"e23483b2f10aeaa9e7f4e17a6acc1e25","Age","20"
16,"e23483b2f10aeaa9e7f4e17a6acc1e25","L1_level","advanced"
16,"e23483b2f10aeaa9e7f4e17a6acc1e25","L2_level","elementary"
16,"e23483b2f10aeaa9e7f4e17a6acc1e25","gender","female"
16,"e23483b2f10aeaa9e7f4e17a6acc1e25","handedness","righthanded"
16,"e23483b2f10aeaa9e7f4e17a6acc1e25","Strategy","Nein"
16,"e23483b2f10aeaa9e7f4e17a6acc1e25","Guesses","Nein"
16,"e23483b2f10aeaa9e7f4e17a6acc1e25","Experiment_length","medium"
16,"e23483b2f10aeaa9e7f4e17a6acc1e25","Task_difficulty","very easy"
16,"e23483b2f10aeaa9e7f4e17a6acc1e25","Problems","Nein"
16,"e23483b2f10aeaa9e7f4e17a6acc1e25","Remarks","Die Tastenbelegung war etwas unhandlich. Es wäre besser gewesen, wenn die Tasten etwas näher beieinander gewesen wären."
16,"e23483b2f10aeaa9e7f4e17a6acc1e25","KeepData","yes"
17,"901cf67c6925dc645a3471e896de844a","Strategy","So gut den ersten Satz einprägen wie es ging"
17,"901cf67c6925dc645a3471e896de844a","Guesses","wie schnell man lesen kann"
17,"901cf67c6925dc645a3471e896de844a","Experiment_length","medium"
17,"901cf67c6925dc645a3471e896de844a","Task_difficulty","medium"
17,"901cf67c6925dc645a3471e896de844a","Problems","nein"
17,"901cf67c6925dc645a3471e896de844a","Remarks","nein"
17,"901cf67c6925dc645a3471e896de844a","KeepData","yes"
17,"901cf67c6925dc645a3471e896de844a","Native_language","deutsch"
17,"901cf67c6925dc645a3471e896de844a","L1","Englisch"
17,"901cf67c6925dc645a3471e896de844a","L1_age","8"
17,"901cf67c6925dc645a3471e896de844a","L2","Latein"
17,"901cf67c6925dc645a3471e896de844a","L2_age","12"
17,"901cf67c6925dc645a3471e896de844a","L3",""
17,"901cf67c6925dc645a3471e896de844a","L3_age",""
17,"901cf67c6925dc645a3471e896de844a","Age","25"
17,"901cf67c6925dc645a3471e896de844a","L1_level","fluent"
17,"901cf67c6925dc645a3471e896de844a","L2_level","elementary"
17,"901cf67c6925dc645a3471e896de844a","gender","female"
17,"901cf67c6925dc645a3471e896de844a","handedness","righthanded"
18,"4f89d4d8ded1cf0c9174434bf2e43bbe","Native_language","Deutsch"
18,"4f89d4d8ded1cf0c9174434bf2e43bbe","L1","Englisch"
18,"4f89d4d8ded1cf0c9174434bf2e43bbe","L1_age","10"
18,"4f89d4d8ded1cf0c9174434bf2e43bbe","L2",""
18,"4f89d4d8ded1cf0c9174434bf2e43bbe","L2_age",""
18,"4f89d4d8ded1cf0c9174434bf2e43bbe","L3",""
18,"4f89d4d8ded1cf0c9174434bf2e43bbe","L3_age",""
18,"4f89d4d8ded1cf0c9174434bf2e43bbe","Age","32"
18,"4f89d4d8ded1cf0c9174434bf2e43bbe","L1_level","fluent"
18,"4f89d4d8ded1cf0c9174434bf2e43bbe","gender","male"
18,"4f89d4d8ded1cf0c9174434bf2e43bbe","handedness","righthanded"
18,"4f89d4d8ded1cf0c9174434bf2e43bbe","Strategy","Nein"
18,"4f89d4d8ded1cf0c9174434bf2e43bbe","Guesses","Nein"
18,"4f89d4d8ded1cf0c9174434bf2e43bbe","Experiment_length","medium"
18,"4f89d4d8ded1cf0c9174434bf2e43bbe","Task_difficulty","very easy"
18,"4f89d4d8ded1cf0c9174434bf2e43bbe","Problems","Nein"
18,"4f89d4d8ded1cf0c9174434bf2e43bbe","Remarks","Nein"
18,"4f89d4d8ded1cf0c9174434bf2e43bbe","KeepData","yes"
19,"8175267c6d8b12d328db32e60bba8e18","Native_language","Deutsch"
19,"8175267c6d8b12d328db32e60bba8e18","L1","Englisch"
19,"8175267c6d8b12d328db32e60bba8e18","L1_age","8"
19,"8175267c6d8b12d328db32e60bba8e18","L2",""
19,"8175267c6d8b12d328db32e60bba8e18","L2_age",""
19,"8175267c6d8b12d328db32e60bba8e18","L3",""
19,"8175267c6d8b12d328db32e60bba8e18","L3_age",""
19,"8175267c6d8b12d328db32e60bba8e18","Age","19"
19,"8175267c6d8b12d328db32e60bba8e18","L1_level","fluent"
19,"8175267c6d8b12d328db32e60bba8e18","gender","female"
19,"8175267c6d8b12d328db32e60bba8e18","handedness","righthanded"
19,"8175267c6d8b12d328db32e60bba8e18","Strategy","Ich habe mir den ersten Satz genau durchgelesen und im Kopf behalten."
19,"8175267c6d8b12d328db32e60bba8e18","Guesses","nein"
19,"8175267c6d8b12d328db32e60bba8e18","Experiment_length","medium"
19,"8175267c6d8b12d328db32e60bba8e18","Task_difficulty","medium"
19,"8175267c6d8b12d328db32e60bba8e18","Problems","nein"
19,"8175267c6d8b12d328db32e60bba8e18","Remarks","nein"
19,"8175267c6d8b12d328db32e60bba8e18","KeepData","yes"
20,"9668d365093a3c191e41e2f72b3eaa5c","Native_language","deutsch"
20,"9668d365093a3c191e41e2f72b3eaa5c","L1","Englisch"
20,"9668d365093a3c191e41e2f72b3eaa5c","L1_age","10"
20,"9668d365093a3c191e41e2f72b3eaa5c","L2",""
20,"9668d365093a3c191e41e2f72b3eaa5c","L2_age",""
20,"9668d365093a3c191e41e2f72b3eaa5c","L3",""
20,"9668d365093a3c191e41e2f72b3eaa5c","L3_age",""
20,"9668d365093a3c191e41e2f72b3eaa5c","Age","26"
20,"9668d365093a3c191e41e2f72b3eaa5c","L1_level","advanced"
20,"9668d365093a3c191e41e2f72b3eaa5c","gender","male"
20,"9668d365093a3c191e41e2f72b3eaa5c","handedness","righthanded"
20,"9668d365093a3c191e41e2f72b3eaa5c","Strategy","Ich habe die Sätze mir selbst laut vorgelesen."
20,"9668d365093a3c191e41e2f72b3eaa5c","Guesses","Konzentrationsunterschiede bei den verschiedenen Arten einen Satz zu lesen."
20,"9668d365093a3c191e41e2f72b3eaa5c","Experiment_length","medium"
20,"9668d365093a3c191e41e2f72b3eaa5c","Task_difficulty","very easy"
20,"9668d365093a3c191e41e2f72b3eaa5c","Problems","Nein."
20,"9668d365093a3c191e41e2f72b3eaa5c","Remarks","Nein"
20,"9668d365093a3c191e41e2f72b3eaa5c","KeepData","yes"
21,"2f8eed30a422a494c21715a16d15b3f0","Native_language","Deutsch"
21,"2f8eed30a422a494c21715a16d15b3f0","L1","Englisch"
21,"2f8eed30a422a494c21715a16d15b3f0","L1_age","10"
21,"2f8eed30a422a494c21715a16d15b3f0","L2",""
21,"2f8eed30a422a494c21715a16d15b3f0","L2_age",""
