"Item","Cond","ProductionPercentage","AssociationRating","InferenceRating","CoherenceRating","ContextSentence","ContextEvent","TargetSentence","Target","Continuation","InferenceType","InferenceQuestion","NegationType","TargetVerb","ProductionQuestion","ProductionList","ProductionResponsesAll","ProductionFreqList"
5,"A",0.67,6.4,7,6.7,"Heute Morgen wurde ein Rentner im Park","tot aufgefunden.","Der Parkwächter berichtet, dass die","Leiche","später genau untersucht worden war.","consequence","Für wie wahrscheinlich halten Sie es, dass der Rentner tot aufgefunden wurde?","kein+jemals","berichten","Jemand wurde tot aufgefunden.",1,"Leiche, Boden, Sarg - Leiche, Hilfe, Trauer - Leiche, Totenstarre, Schock - Kalt, Traurig, Himmel - Leiche, Mord, Tatort - Leiche, Mord, Geruch - Leiche, Wald, Fluss - Leiche, Polizei, Tatort - Leiche, Kriminalpolizei, Blut - Opfer, Mord, Unfall - Ursache, Leid, Beerdigung, Polizei - Gift, Alter, Großeltern - Leiche, Blut, Wunde - Leiche, Mord, Wald - Mord, Blut, Hilfe, Anruf","Leiche 10 Mord 5 Blut 3 Hilfe 2 Polizei 2 Tatort 2 Wald 2 Alter 1 Anruf 1 Beerdigung 1 Boden 1 Fluss 1 Geruch 1 Gift 1 Großeltern 1 Himmel 1 Kalt 1 Kriminalpolizei 1 Leid 1 Opfer 1 Sarg 1 Schock 1 Totenstarre 1 Trauer 1 Traurig 1 Unfall 1 Ursache 1 Wunde 1"
5,"B",0,4,5.2,3.1,"Heute Morgen ist ein Rentner im Park","verletzt worden.","Der Parkwächter berichtet, dass die","Leiche","später genau untersucht worden war.","consequence","Für wie wahrscheinlich halten Sie es, dass der Rentner tot aufgefunden wurde?","kein+jemals","berichten","Jemand ist verletzt worden.",2,"Schaden, Behandlung, Rettung - Unfall, Auto, Wunde, Blut - Schmerz, Gefahr, Angst - Wunde, Unfall, Verletzung - Blut, Krankenhaus, Schmerzen - Fahrradfahrer, Sportler, Autofahrer - Täter, Polizei, Blut - Schiene, Prügelei, Treppe - Wunde, Messer, Küche - Körperverletzung, Straftat, Messer - Wunde, Hilfe, Arzt - Blut, Verband, Schmerz - Angriff, Schaden, Emotion - Blut, Pflaster, Krankenwagen - Waffe, Wunde, Krankenwagen","Blut 5 Wunde 5 Krankenwagen 2 Messer 2 Schaden 2 Schmerz 2 Unfall 2 Angriff 1 Angst 1 Arzt 1 Auto 1 Autofahrer 1 Behandlung 1 Emotion 1 Fahrradfahrer 1 Gefahr 1 Hilfe 1 Körperverletzung 1 Krankenhaus 1 Küche 1 Pflaster 1 Polizei 1 Prügelei 1 Rettung 1 Schiene 1 Schmerzen 1 Sportler 1 Straftat 1 Täter 1 Treppe 1 Verband 1 Verletzung 1 Waffe 1"
5,"C",NA,6.4,3.1,1.2,"Kein Rentner wurde jemals im Park","tot aufgefunden.","Der Parkwächter berichtet, dass die","Leiche","später genau untersucht worden war.","consequence","Für wie wahrscheinlich halten Sie es, dass ein Rentner tot aufgefunden wurde?","kein+jemals","berichten",NA,NA,NA,NA
5,"D",NA,4,4.3,2.1,"Kein Rentner ist jemals im Park","verletzt worden.","Der Parkwächter berichtet, dass die","Leiche","später genau untersucht worden war.","consequence","Für wie wahrscheinlich halten Sie es, dass ein Rentner tot aufgefunden wurde?","kein+jemals","berichten",NA,NA,NA,NA
6,"A",0.07,6.6,7,6.3,"Letztes Wochenende ist ein Bergsteiger in dem Gebirge","tödlich verunglückt.","Der Kletterverein verkündete, dass die","Beerdigung","schon am Samstag stattfand.","consequence","Für wie wahrscheinlich halten Sie es, dass der Bergsteiger tödlich verunglückt ist?","kein+jemals","verkünden","Jemand ist tödlich verunglückt.",2,"Unfall, Auto, Feuerwehr - Autounfall, Unfall, Flugzeugabsturz - Unfall, Pech, Tod - Sturz, Flugzeug, Unglück - Tragödie, Trauer, Fassungslosigkeit - Schmerzen, Unfall, Unglück - Unfall, Leichenwagen, Polizei - Unfall, Autobahn, Tränen - Motorrad, Kurve, Öl - Leiche, Auto, Wrack - Unfall, Auto, Autobahn - Autounfall, Tod, Trauer - Unfall, Auto, Straße - Unfall, Tod, Krankenhaus - Unfall, Auto, Beerdigung","Unfall 10 Auto 5 Tod 3 Autobahn 2 Autounfall 2 Trauer 2 Unglück 2 Beerdigung 1 Fassungslosigkeit 1 Feuerwehr 1 Flugzeug 1 Flugzeugabsturz 1 Krankenhaus 1 Kurve 1 Leiche 1 Leichenwagen 1 Motorrad 1 Öl 1 Pech 1 Polizei 1 Schmerzen 1 Straße 1 Sturz 1 Tragödie 1 Tränen 1 Wrack 1"
6,"B",0,5.3,6.5,5.8,"Letztes Wochenende ist ein Bergsteiger in dem Gebirge","plötzlich abgestürzt.","Der Kletterverein verkündete, dass die","Beerdigung","schon am Samstag stattfand.","consequence","Für wie wahrscheinlich halten Sie es, dass der Bergsteiger tödlich verunglückt ist?","kein+jemals","verkünden","Jemand ist plötzlich abgestürzt.",1,"Defekt, Unfall, Tod - PC, Bluescreen, Strom - Klippe, Fall, Tod - Berg, Klettern, Fels - Berg, Seil, Kletterer - Unfall, Tod, Hubschrauber - Drogen, Depression, Gesundheit, - Flugzeug, Seil, Klettern, Sicherung, Steigbügel - Fallschirm, Himmel, Flugzeug - Flugzeug, Hubschrauber, Schreck - Flugzeug, Drogen, Sucht, Unfall - Seil, Bergsteiger, Unfall - Alkohol, Leiter, Sturz - Bunjee, Flugzeug, Wasser, Höhe - Fall, Gefahr, Höhe","Flugzeug 5 Unfall 4 Seil 3 Tod 3 Berg 2 Drogen 2 Fall 2 Höhe 2 Hubschrauber 2 Klettern 2 Alkohol 1 Bergsteiger 1 Bluescreen 1 Bunjee 1 Defekt 1 Depression 1 Fallschirm 1 Fels 1 Gefahr 1 Gesundheit 1 Himmel 1 Kletterer 1 Klippe 1 Leiter 1 PC 1 Schreck 1 Sicherung 1 Steigbügel 1 Strom 1 Sturz 1 Sucht 1 Wasser 1"
6,"C",NA,6.6,2.8,1.2,"Kein Bergsteiger ist jemals in dem Gebirge","tödlich verunglückt.","Der Kletterverein verkündete, dass die","Beerdigung","schon am Samstag stattfand.","consequence","Für wie wahrscheinlich halten Sie es, dass ein Bergsteiger tödlich verunglückt ist?","kein+jemals","verkünden",NA,NA,NA,NA
6,"D",NA,5.3,4.7,1,"Kein Bergsteiger ist jemals in dem Gebirge","plötzlich abgestürzt.","Der Kletterverein verkündete, dass die","Beerdigung","schon am Samstag stattfand.","consequence","Für wie wahrscheinlich halten Sie es, dass ein Bergsteiger tödlich verunglückt ist?","kein+jemals","verkünden",NA,NA,NA,NA
7,"A",0.27,5.6,6.7,6.6,"Gestern wurde der Sohn des Händlers","verprügelt.","Er zeigte, dass das","Blut","inzwischen schon getrocknet war.","consequence","Für wie wahrscheinlich halten Sie es, dass der Sohn verprügelt wurde?","nie","zeigen","Jemand wurde verprügelt.",1,"Blaues Auge, Box, Handschuh - Blaues Auge, Schmerz, Faust - Blut, Auge, Fäuste - Opfer, Schmerz, Mobbing - Blessuren, Bar, Trunkenheit - Nacht, Stadt, Messer - Blut, Gewalt, Ungerechtigkeit, Männer, Tränen - Lederjacke, Taschentuch, Blut - Schule, Mobbing, Straftat - Teenager, Schule, Gewalt, Minderjährige - Gewalt, Schmerz, Verbrechen - Straße, Gewalt, Prügel - Gewalt, Gefahr, Kraft - Kampf, Blut, Täter - Gewalt, Schmerzen, Strafe","Gewalt 6 Blut 4 Auge 3 Schmerz 3 Blaues 2 Mobbing 2 Schule 2 Bar 1 Blessuren 1 Box 1 Faust 1 Fäuste 1 Gefahr 1 Handschuh 1 Kampf 1 Kraft 1 Lederjacke 1 Männer 1 Messer 1 Minderjährige 1 Nacht 1 Opfer 1 Prügel 1 Schmerzen 1 Stadt 1 Strafe 1 Straftat 1 Straße 1 Taschentuch 1 Täter 1 Teenager 1 Tränen 1 Trunkenheit 1 Ungerechtigkeit 1 Verbrechen 1"
7,"B",0,3.4,4.8,4.3,"Gestern wurde der Sohn des Händlers","bestraft.","Er zeigte, dass das","Blut","inzwischen schon getrocknet war.","consequence","Für wie wahrscheinlich halten Sie es, dass der Sohn verprügelt wurde?","nie","zeigen","Jemand wurde bestraft.",2,"Schuld, Gefängnis, Recht - Gericht, Karma, Polizei - Gericht, Buße, Anwalt - Schmerzen, Gefängnis, Haft - Strafe, Verbrechen, Gefängnis - Gericht, Richter, Zeugen - Strafe, Urteil, System - Täter, Anklage, Gerichtsprozess - Täter, Richter, Staatsanwaltschaft, Verteidiger - Schläge, Schreie, Tränen - Gefängnis, Justiz, Polizei - Gefängnis, Gericht, Strafe, Straftat - Gefängnis, Gericht, Richter, Strafe - Folter, Gewalt, Willkür, Gesetz - Gericht, Gefängnis, Polizei","Gefängnis 7 Gericht 6 Strafe 4 Polizei 3 Richter 3 Täter 2 Anklage 1 Anwalt 1 Buße 1 Folter 1 Gerichtsprozess 1 Gesetz 1 Gewalt 1 Haft 1 Justiz 1 Karma 1 Recht 1 Schläge 1 Schmerzen 1 Schreie 1 Schuld 1 Staatsanwaltschaft 1 Straftat 1 System 1 Tränen 1 Urteil 1 Verbrechen 1 Verteidiger 1 Willkür 1 Zeugen 1"
7,"C",NA,5.6,2.8,2,"Der Sohn des Händlers wurde nie","verprügelt.","Er zeigte, dass das","Blut","inzwischen schon getrocknet war.","consequence","Für wie wahrscheinlich halten Sie es, dass der Sohn verprügelt wurde?","nie","zeigen",NA,NA,NA,NA
7,"D",NA,3.4,4,2.9,"Der Sohn des Händlers wurde nie","bestraft.","Er zeigte, dass das","Blut","inzwischen schon getrocknet war.","consequence","Für wie wahrscheinlich halten Sie es, dass der Sohn verprügelt wurde?","nie","zeigen",NA,NA,NA,NA
8,"A",0.27,6.5,6.4,6.4,"Letzten Monat hat der Mann einen Laden","überfallen.","Er sagte, dass die","Waffe","tatsächlich voll geladen gewesen war.","instrument","Für wie wahrscheinlich halten Sie es, dass der Mann einen Laden überfallen hat?","niemals","sagen","Jemand hat etwas überfallen.",2,"Bank, Pistole, Maske - Bank, Beute, Flucht - Diebstahl, Polizei, Bank - Diebstahl, Gefahr, Unrecht - Bank, Raub, Polizei, Geld - Raub, Waffe, Maske - Strafe, Waffe, Polizei - Bank, Räuber, Geld - Raub, Gewalt, Polizist - Raub, Juwelier, Kasse, Bank - Bank, Räuber, Geld, Überfall - Bank, Geschäft, Waffe - Räuber, Einbrecher, Diebstahl, Flucht - Tankstelle, Räuber, Waffe - Raub, Reichtum, Uhr","Bank 8 Raub 5 Räuber 4 Waffe 4 Diebstahl 3 Geld 3 Polizei 3 Flucht 2 Maske 2 Beute 1 Einbrecher 1 Gefahr 1 Geschäft 1 Gewalt 1 Juwelier 1 Kasse 1 Pistole 1 Polizist 1 Reichtum 1 Strafe 1 Tankstelle 1 Überfall 1 Uhr 1 Unrecht 1"
8,"B",0,4.3,6,6.3,"Letzten Monat ist der Mann in einen Laden","eingedrungen.","Er sagte, dass die","Waffe","tatsächlich voll geladen gewesen war.","instrument","Für wie wahrscheinlich halten Sie es, dass der Mann einen Laden überfallen hat?","niemals","sagen","Jemand ist in etwas eingedrungen.",1,"Sicherheit, Polizei, Museum - Angreifer, Mauer, Sex - Schmerz, Gewalt, Messer - Sex, Tiefe, Schau - Diebstahl, Alarmanlage, EInbruch - Gebäude, Nacht, Geheimnis - Diebstahl, Gewalt, Fenster - Tunnel, Wand, Gewalt - Sex, Einbruch, Illegal - Lager, Agent, Maulwurf - Gebäude, Gruppierung, Sex - Mensch, Suche, Untersuchung - Geschlechtsverkehr, Geschäft, Land, Grenze, Wohnung - Dietrich, Vibrator, Stethoskop - Vergewaltigung, Gebäude, Gewalt,","Gewalt 4 Sex 4 Gebäude 3 Diebstahl 2 Agent 1 Alarmanlage 1 Angreifer 1 Dietrich 1 Einbruch 1 EInbruch 1 Fenster 1 Geheimnis 1 Geschäft 1 Geschlechtsverkehr 1 Grenze 1 Gruppierung 1 Illegal 1 Lager 1 Land 1 Mauer 1 Maulwurf 1 Mensch 1 Messer 1 Museum 1 Nacht 1 Polizei 1 Schau 1 Schmerz 1 Sicherheit 1 Stethoskop 1 Suche 1 Tiefe 1 Tunnel 1 Untersuchung 1 Vergewaltigung 1 Vibrator 1 Wand 1 Wohnung 1"
8,"C",NA,6.5,3,1.7,"Der Mann hat niemals einen Laden","überfallen.","Er sagte, dass die","Waffe","tatsächlich voll geladen gewesen war.","instrument","Für wie wahrscheinlich halten Sie es, dass der Mann einen Laden überfallen hat?","niemals","sagen",NA,NA,NA,NA
8,"D",NA,4.3,2.2,1.5,"Der Mann ist niemals in einen Laden","eingedrungen.","Er sagte, dass die","Waffe","tatsächlich voll geladen gewesen war.","instrument","Für wie wahrscheinlich halten Sie es, dass der Mann einen Laden überfallen hat?","niemals","sagen",NA,NA,NA,NA
10,"A",0.07,6.4,6.5,6.7,"Letzte Woche ist das Handy des Sängers","kaputtgegangen.","Er stellte fest, dass die","Reparatur","leider ziemlich teuer war.","consequence","Für wie wahrscheinlich halten Sie es, dass das Handy kaputtgegangen ist?","niemals","feststellen","Etwas ist kaputtgegangen.",2,"Handy, Haargummis, Geschirr - Vase, Teller, Fernseher - Ersatz, Geld, Unglücklich - Vase, Glas, Handy - Handy, Laptop, Vertrauen - Vase, Motor, Fensterscheibe - Vase, Teller, Glas - Motor, Computer, Teller - Scherben, Vase, Handy - Geschirr, Computer, Reparatur - Defekt, Spielzeug, Auto - Glas, Scherbe, Ersatzteil - Scherben, Material, Abfall - Schale, Porzellan, Scherben - Schaden, Geld, Lärm","Vase 5 Handy 4 Glas 3 Scherben 3 Teller 3 Computer 2 Geld 2 Geschirr 2 Motor 2 Abfall 1 Auto 1 Defekt 1 Ersatz 1 Ersatzteil 1 Fensterscheibe 1 Fernseher 1 Haargummis 1 Laptop 1 Lärm 1 Material 1 Porzellan 1 Reparatur 1 Schaden 1 Schale 1 Scherbe 1 Spielzeug 1 Unglücklich 1 Vertrauen 1"
10,"B",0,4,6.9,7,"Letzte Woche ist das Handy des Sängers","heruntergefallen.","Er stellte fest, dass die","Reparatur","leider ziemlich teuer war.","consequence","Für wie wahrscheinlich halten Sie es, dass das Handy kaputtgegangen ist?","niemals","feststellen","Etwas ist heruntergefallen.",1,"Unfall, Tisch, Bruch - Glas, Boden, Tisch - Sturz, Höhe, Unfall - Apfel, Tasse, Katze - Leiter, Regal, Schaden, - Glas, Tasse, Scherben, Kehrblech, Katze - Scherben, Tisch, Boden - Nüsse, Schlüssel, Schramme - Knall, Scherben, Stift, Glas, Topf - Fall, Gegenstand, Aufprall - Glas, Schreck, Lautstärke - Boden, Höhe, Band - Flug, Schlag, Scherben - Vase, Scherbe, Bruch - Vase, Regal, Scherben","Scherben 5 Glas 4 Boden 3 Tisch 3 Bruch 2 Höhe 2 Katze 2 Regal 2 Tasse 2 Unfall 2 Vase 2 Apfel 1 Aufprall 1 Band 1 Fall 1 Flug 1 Gegenstand 1 Kehrblech 1 Knall 1 Lautstärke 1 Leiter 1 Nüsse 1 Schaden 1 Scherbe 1 Schlag 1 Schlüssel 1 Schramme 1 Schreck 1 Stift 1 Sturz 1 Topf 1"
10,"C",NA,6.4,3,1.2,"Das Handy des Sängers ist niemals","kaputtgegangen.","Er stellte fest, dass die","Reparatur","leider ziemlich teuer war.","consequence","Für wie wahrscheinlich halten Sie es, dass das Handy kaputtgegangen ist?","niemals","feststellen",NA,NA,NA,NA
10,"D",NA,4,4.6,1.2,"Das Handy des Sängers ist niemals","heruntergefallen.","Er stellte fest, dass die","Reparatur","leider ziemlich teuer war.","consequence","Für wie wahrscheinlich halten Sie es, dass das Handy kaputtgegangen ist?","niemals","feststellen",NA,NA,NA,NA
